KABE,40.65236,-75.4404,2
KRSW,26.53617,-81.75517,2
KBUF,42.94052,-78.73217,2
KMQY,36.00898,-86.52008,1
KLIT,34.7294,-92.22425,7
KPHL,39.87195,-75.24114,6
MUHA,22.989153,-82.409086,1
KTTN,40.27669,-74.81347,1
PGSN,15.119,145.72936,2
KGON,41.33006,-72.04514,2
KILG,39.67872,-75.60653,1
PHOG,20.89865,-156.43046,2
KEYW,24.55611,-81.75956,4
KPIT,40.49147,-80.23287,3
KPVD,41.724,-71.42822,1
KAUG,44.32065,-69.79732,1
KALB,42.74812,-73.80298,2
KHIO,45.54039,-122.94983,1
P72,39.93733,-75.14129,1
KMDD,32.0365244,-102.1010278,1
KSFB,28.77764,-81.23749,6
KMCI,39.29761,-94.71391,9
KDAB,29.17992,-81.05806,1
KORL,28.54547,-81.33294,1
KAFW,32.98764,-97.31881,1
KHZY,41.77798,-80.69551,1
KLOU,38.228,-85.66372,1
PHNL,21.31869,-157.92241,4
KLMT,42.15614,-121.73321,1
KBFL,35.4336,-119.05677,1
KLAX,33.94254,-118.40807,1
KTUS,32.11608,-110.94103,1
KFLL,26.07258,-80.15275,2
KMHT,42.93452,-71.43706,1
KSPI,39.84395,-89.67762,1
KEVV,38.03799,-87.53063,1
KCMH,39.9969472,-82.8921611,5
KFSD,43.58135,-96.7417,1
KTKI,33.17795,-96.59053,1
KTUL,36.19837,-95.88824,7
KDFW,32.89595,-97.0372,12
KAUS,30.19453,-97.66987,8
KSHV,32.44663,-93.8256,4
KDTO,33.20072,-97.19798,1
KEWR,40.6925,-74.16866,4
KMKG,43.16949,-86.23822,1
KHOT,34.47803,-93.09621,1
KDTW,42.21206,-83.34884,5
KBED,42.46995,-71.28903,1
KTEB,40.8501,-74.06084,3
KCPS,38.569,-90.1537,1
KMCO,28.42889,-81.31603,11
KADS,32.96856,-96.83645,1
KIND,39.71733,-86.29438,5
KSJT,31.35775,-100.49631,3
KPHN,42.91096,-82.52886,1
KCAE,33.93884,-81.11954,1
KOJC,38.8476,-94.73759,1
KPXE,32.5105833,-83.7673333,1
KATL,33.64044,-84.42694,9
KLZU,33.97808,-83.96238,1
KHOU,29.64542,-95.27889,4
KBHM,33.56294,-86.75355,1
KBFI,47.52999,-122.30196,1
KFHB,30.6118108,-81.4611856,1
KRIV,33.885,-117.25945,1
KSAC,38.51252,-121.49347,1
KGPT,30.40728,-89.07009,2
KLFT,30.20528,-91.98766,1
KFTW,32.81978,-97.36244,1
KSAT,29.53369,-98.46978,10
KMSP,44.88055,-93.21692,1
KMIA,25.79325,-80.29056,3
KBTV,44.473,-73.15031,1
KMCN,32.69285,-83.64921,1
KTPA,27.97547,-82.53325,8
KBWI,39.1754,-76.6682,4
KBLV,38.545179,-89.835184,1
MMTC,25.56833,-103.41067,1
KPDX,45.58872,-122.5975,4
KRIC,37.50517,-77.31967,2
KLWB,37.85831,-80.39947,1
KLGB,33.81772,-118.15161,3
KABQ,35.04022,-106.60919,4
